"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300046",127,200794,"Paul","Millsap","LAL","ATL","2013-11-03","MISS Millsap 16' Jump Shot",1.841,-30.959,84.991,42.46,125,104,16,"JMP","RC","MR"
"0021300046",489,202333,"Xavier","Henry","LAL","ATL","2013-11-03","MISS Henry 27' 3PT Jump Shot",1.137,-31.772,69.379,38.855,116,239,26,"JMP","RC","AB3"
"0021300047",107,200826,"J.J.","Barea","CLE","MIN","2013-11-04","MISS Barea 25' 3PT Jump Shot",1.479,-32.166,66.099,20.425,-56,241,24,"JMP","C","AB3"
"0021300047",248,203079,"Dion","Waiters","CLE","MIN","2013-11-04","MISS Waiters 26' 3PT Jump Shot",1.341,-31.02,30.126,13.28,110,231,25,"JMP","RC","AB3"
"0021300047",442,203461,"Anthony","Bennett","CLE","MIN","2013-11-04","MISS Bennett 25' 3PT Jump Shot",2.053,-28.569,65.73,7.103,-146,201,24,"JMP","LC","AB3"
"0021300047",466,201593,"Nikola","Pekovic","CLE","MIN","2013-11-04","MISS Pekovic 13' Turnaround Jump Shot",2.343,-32.352,7.026,37.674,-125,14,12,"TAJ","L","MR"
"0021300047",8,202684,"Tristan","Thompson","CLE","MIN","2013-11-04","MISS Thompson 14' Jump Shot",1.215,-30.521,22.734,31.742,-106,89,13,"JMP","L","MR"
"0021300048",107,203100,"Tony","Wroten","PHI","GSW","2013-11-04","MISS Wroten 24' 3PT Jump Shot",1.38,-30.844,27.809,10.646,113,217,24,"JMP","RC","AB3"
"0021300049",12,101138,"Brandon","Bass","MEM","BOS","2013-11-04","MISS Bass 21' Jump Shot",1.704,-32.361,16.205,40.087,-146,149,20,"JMP","LC","MR"
"0021300049",189,101138,"Brandon","Bass","MEM","BOS","2013-11-04","MISS Bass 30' 3PT Jump Shot",3.509,-30.933,35.495,20.127,12,299,29,"JMP","C","AB3"
"0021300049",391,203482,"Kelly","Olynyk","MEM","BOS","2013-11-04","MISS Olynyk 12' Fadeaway Jumper",1.283,-31.365,75.867,23.806,0,115,11,"FDE","C","PNT"
"0021300050",161,2037,"Jamal","Crawford","LAC","HOU","2013-11-04","MISS Crawford  3PT Jump Shot",1.276,-32.664,5.322,46.252,-224,7,22,"JMP","L","LC3"
"0021300051",509,200768,"Kyle","Lowry","TOR","MIA","2013-11-05","MISS Lowry 25' 3PT Jump Shot",1.128,-30.932,74.721,46.205,181,176,25,"JMP","RC","AB3"
"0021300052",273,202330,"Gordon","Hayward","BKN","UTA","2013-11-05","MISS Hayward 25' 3PT Jump Shot",1.364,-31.686,29.388,29.5,-78,236,24,"JMP","LC","AB3"
"0021300053",394,202713,"Kyle","Singler","DET","IND","2013-11-05","MISS Singler 24' 3PT Jump Shot",1.506,-30.965,89.419,2.706,-240,23,24,"JMP","L","LC3"
"0021300053",50,2746,"Josh","Smith","DET","IND","2013-11-05","MISS Smith 27' 3PT Jump Shot",1.557,-31.07,30.613,17.981,18,265,26,"JMP","C","AB3"
"0021300054",271,200745,"Andrea","Bargnani","NYK","CHA","2013-11-05","MISS Bargnani 11' Jump Shot",3.176,-31.805,7.201,11.201,106,17,10,"JMP","R","MR"
"0021300054",319,202697,"Iman","Shumpert","NYK","CHA","2013-11-05","MISS Shumpert 25' 3PT Jump Shot",1.268,-31.327,77.394,46.487,187,173,25,"JMP","RC","AB3"
"0021300054",322,203106,"Jeffery","Taylor","NYK","CHA","2013-11-05","MISS Taylor  3PT Jump Shot",1.362,-33.04,9.628,48.297,-224,34,22,"JMP","L","LC3"
"0021300055",257,201569,"Eric","Gordon","NOP","PHX","2013-11-05","MISS Gordon 18' Jump Shot",1.821,-31.59,24.77,26.667,-4,181,18,"JMP","C","MR"
"0021300055",355,101123,"Gerald","Green","NOP","PHX","2013-11-05","MISS Green 25' 3PT Jump Shot",1.425,-30.691,22.909,6.622,146,201,24,"JMP","RC","AB3"
"0021300056",299,101181,"Jose","Calderon","DAL","LAL","2013-11-05","MISS Calderon 24' 3PT Jump Shot",1.482,-30.334,72.233,43.766,187,151,24,"JMP","RC","AB3"
"0021300056",433,201971,"DeJuan","Blair","DAL","LAL","2013-11-05","MISS Blair 8' Step Back Jump Shot",1.678,-31.838,75.327,26.911,1,80,8,"SBJ","C","PNT"
"0021300058",427,202391,"Jeremy","Lin","POR","HOU","2013-11-05","MISS Lin 13' Fadeaway Jumper",1.313,-31.702,16.655,25.315,-27,131,13,"FDE","C","PNT"
"0021300058",522,203081,"Damian","Lillard","POR","HOU","2013-11-05","MISS Lillard 26' 3PT Jump Shot",1.385,-31.137,63.562,17.804,-34,260,26,"JMP","C","AB3"
"0021300058",63,101128,"Francisco","Garcia","POR","HOU","2013-11-05","MISS Garcia 25' 3PT Jump Shot",1.243,-31.386,75.045,46.385,217,116,24,"JMP","RC","AB3"
"0021300059",340,203463,"Ben","McLemore","SAC","ATL","2013-11-05","MISS McLemore 25' 3PT Jump Shot",0.959,-30.673,21.236,44.093,-185,162,24,"JMP","LC","AB3"
"0021300059",539,200794,"Paul","Millsap","SAC","ATL","2013-11-05","MISS Millsap 8' Floating Jump Shot",1.176,-28.448,79.994,29.303,7,82,8,"FJS","C","PNT"
"0021300059",87,202326,"DeMarcus","Cousins","SAC","ATL","2013-11-05","MISS Cousins 26' 3PT Jump Shot",1.372,-29.401,67.397,35.357,144,213,25,"JMP","RC","AB3"
"0021300060",227,201945,"Gerald","Henderson","CHA","TOR","2013-11-06","MISS Henderson 25' 3PT Jump Shot",1.624,-31.861,25.029,10.114,108,222,24,"JMP","RC","AB3"
"0021300060",331,203106,"Jeffery","Taylor","CHA","TOR","2013-11-06","MISS Taylor 26' 3PT Jump Shot",1.344,-31.573,66.436,32.402,152,209,25,"JMP","RC","AB3"
"0021300062",20,203090,"Maurice","Harkless","ORL","LAC","2013-11-06","MISS Harkless  3PT Jump Shot",1.36,-31.103,86.698,46.715,226,-19,22,"JMP","R","RC3"
"0021300063",45,202341,"James","Anderson","PHI","WAS","2013-11-06","MISS Anderson 23' Jump Shot",0.866,-30.502,21.452,7.366,168,151,22,"JMP","RC","MR"
"0021300064",355,202348,"Jordan","Crawford","BOS","UTA","2013-11-06","MISS Crawford 23' Jump Shot",2.5,-29.832,26.919,32.186,-128,187,22,"JMP","LC","MR"
"0021300064",6,201145,"Jeff","Green","BOS","UTA","2013-11-06","MISS Green 19' Jump Shot",1.596,-32.446,70.439,17.222,-86,167,18,"JMP","LC","MR"
"0021300065",10,201569,"Eric","Gordon","MEM","NOP","2013-11-06","MISS Gordon 8' Jump Shot",1.817,-30.617,87.342,35.487,62,44,7,"JMP","C","PNT"
"0021300065",307,201569,"Eric","Gordon","MEM","NOP","2013-11-06","MISS Gordon 26' 3PT Jump Shot",1.593,-31.953,30.443,20.348,75,249,26,"JMP","C","AB3"
"0021300065",58,203076,"Anthony","Davis","MEM","NOP","2013-11-06","MISS Davis 8' Running Hook Shot",1.318,-32.122,80.475,26.661,61,58,8,"RHS","R","PNT"
"0021300067",191,201967,"Dante","Cunningham","MIN","GSW","2013-11-06","MISS Cunningham 17' Jump Shot",1.374,-32.47,84.343,7.153,-158,64,17,"JMP","L","MR"
"0021300067",530,201567,"Kevin","Love","MIN","GSW","2013-11-06","MISS Love 26' 3PT Jump Shot",1.512,-31.808,24.995,39.199,-158,205,25,"JMP","LC","AB3"
"0021300068",402,101123,"Gerald","Green","SAS","PHX","2013-11-06","MISS Green  3PT Jump Shot",1.19,-30.613,11.209,2.393,222,69,23,"JMP","R","RC3"
"0021300068",457,202339,"Eric","Bledsoe","SAS","PHX","2013-11-06","MISS Bledsoe 12' Jump Shot",1.244,-32.73,16.28,17.45,65,102,12,"JMP","R","PNT"
"0021300069",262,101145,"Monta","Ellis","OKC","DAL","2013-11-06","MISS Ellis 25' 3PT Jump Shot",0.339,-31.425,66.203,36.549,149,198,24,"JMP","RC","AB3"
"0021300069",40,201566,"Russell","Westbrook","OKC","DAL","2013-11-06","MISS Westbrook 10' Turnaround Jump Shot",1.253,-31.46,82.018,31.992,83,53,9,"TAJ","R","MR"
"0021300069",432,201566,"Russell","Westbrook","OKC","DAL","2013-11-06","MISS Westbrook 14' Jump Shot",1.128,-31.138,20.018,22.942,2,138,13,"JMP","C","PNT"
"0021300070",239,2544,"LeBron","James","MIA","LAC","2013-11-07","MISS James 26' 3PT Jump Shot",1.19,-31.022,68.005,38.801,176,190,25,"JMP","RC","AB3"
"0021300071",19,202706,"Jordan","Hamilton","DEN","ATL","2013-11-07","MISS Hamilton 26' 3PT Jump Shot",1.39,-31.14,22.424,8.568,170,203,26,"JMP","RC","AB3"
"0021300072",170,200770,"Jordan","Farmar","HOU","LAL","2013-11-07","MISS Farmar 16' Fadeaway Jumper",1.625,-30.542,73.101,30.655,80,142,16,"FDE","RC","MR"
"0021300073",328,202689,"Kemba","Walker","CHA","NYK","2013-11-08","MISS Walker 17' Jump Shot",1.264,-32.04,80.621,39.351,149,83,17,"JMP","R","MR"
"0021300073",397,201229,"Anthony","Tolliver","CHA","NYK","2013-11-08","MISS Tolliver 24' 3PT Jump Shot",1.617,-31.505,82.281,47.294,230,80,24,"JMP","R","RC3"
"0021300074",231,201942,"DeMar","DeRozan","IND","TOR","2013-11-08","MISS DeRozan 19' Jump Shot",1.086,-32,92.489,46.829,193,3,19,"JMP","R","MR"
"0021300075",322,202734,"E'Twaun","Moore","ORL","BOS","2013-11-08","MISS Moore 18' Jump Shot",1.584,-31.483,85.03,46.799,174,31,17,"JMP","R","MR"
"0021300075",539,2749,"Jameer","Nelson","ORL","BOS","2013-11-08","MISS Nelson 27' 3PT Jump Shot",3.088,-31.87,27.334,37.31,-122,244,27,"JMP","LC","AB3"
"0021300075",613,201145,"Jeff","Green","ORL","BOS","2013-11-08","MISS Green 14' Floating Jump Shot",1.679,-31.845,75.51,28.516,32,138,14,"FJS","C","PNT"
"0021300076",132,101127,"Jarrett","Jack","PHI","CLE","2013-11-08","MISS Jack 19' Jump Shot",1.27,-32.33,5.524,7.556,67,176,18,"JMP","RC","MR"
"0021300076",191,202684,"Tristan","Thompson","PHI","CLE","2013-11-08","MISS Thompson 17' Jump Shot",2.592,-31.956,80.091,8.513,-174,11,17,"JMP","L","MR"
